casiz	filename	CASIZ method	copyright method	copyright	rejected	path on disk
-	2016 10 29 triphoroidea to image for mauricio fernandes.pdf	-	None	-	Forbidden extension	/volumes/data/izg/iz images/2016 on image requests/2017 triphoridae_mauricio fernandez/2016 10 29 triphoroidea to image for mauricio fernandes.pdf
-	2016 12 triphoroidea types.pdf	-	None	-	Forbidden extension	/volumes/data/izg/iz images/2016 on image requests/2017 triphoridae_mauricio fernandez/2016 12 triphoroidea types.pdf
-	2017 3 1 jaime jardim images of chitons where image is written.xls	-	None	-	Forbidden extension	/volumes/data/izg/iz images/2016 on image requests/2017 3 1 jaime jardim images of chitons where image is written.xls
-	2016 12 holotype of trivia myrae 064600.pdf	-	None	-	Forbidden extension	/volumes/data/izg/iz images/2016 on image requests/2016 12 holotype of trivia myrae 064600.pdf
-	2017 3 1 jaime jardim instructions with examples for chiton images.pdf	-	None	-	Forbidden extension	/volumes/data/izg/iz images/2016 on image requests/2017 3 1 jaime jardim instructions with examples for chiton images.pdf
-	thumbs.db	-	None	-	Forbidden extension	/volumes/data/izg/iz images/2016-02-17/thumbs.db
-	phaneropthalmus0001.tif	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/2016-02-17/phaneropthalmus0001.tif
-	phaneropthalmus.tif	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/2016-02-17/phaneropthalmus.tif
-	phaneropthalmus0002.tif	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/2016-02-17/phaneropthalmus0002.tif
-	phaneropthalmus0003.tif	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/2016-02-17/phaneropthalmus0003.tif
-	phaneropthalmus0004.tif	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/2016-02-17/phaneropthalmus0004.tif
-	phaneropthalmus0006.tif	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/2016-02-17/phaneropthalmus0006.tif
-	phaneropthalmus0005.tif	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/2016-02-17/phaneropthalmus0005.tif
-	phaneropthalmus0009.tif	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/2016-02-17/phaneropthalmus0009.tif
-	phaneropthalmus0010.tif	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/2016-02-17/phaneropthalmus0010.tif
-	phaneropthalmus0008.tif	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/2016-02-17/phaneropthalmus0008.tif
-	phaneropthalmus0007.tif	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/2016-02-17/phaneropthalmus0007.tif
-	thumbs.db	-	None	-	Forbidden extension	/volumes/data/izg/iz images/2018 10 for chari/thumbs.db
182301	casiz 182301 thuridilla gracilis © t.m. gosliner _3804.tif	Filename	filename	t.m. gosliner	*	/volumes/data/izg/iz images/2018 10 for Chari/casiz 182301 thuridilla gracilis © t.m. gosliner _3804.tif
182306	casiz 182306 thuridilla gracilis © t.m. gosliner _6826.jpg	Filename	filename	t.m. gosliner	*	/volumes/data/izg/iz images/2018 10 for Chari/casiz 182306 thuridilla gracilis © t.m. gosliner _6826.jpg
200658	casiz 200658 thuridilla gracilis bayeri form lub 10 © t.m. gosliner _4371.jpg	Filename	filename	t.m. gosliner	*	/volumes/data/izg/iz images/2018 10 for Chari/casiz 200658 thuridilla gracilis bayeri form lub 10 © t.m. gosliner _4371.jpg
200352	casiz 200352 thuridilla gracilis © t.m. gosliner _4402.jpg	Filename	filename	t.m. gosliner	*	/volumes/data/izg/iz images/2018 10 for Chari/casiz 200352 thuridilla gracilis © t.m. gosliner _4402.jpg
